roi_policy,best_dataset_mae,worst_dataset_mae,mean_dataset_mae,gap_worst_minus_best
all_rois,0.18551003753197773,0.30867979445712485,0.22831059726529127,0.12316975692514712
center_top1,0.18551003753197773,0.3556660846719202,0.28408853487955904,0.17015604713994245
cnn_adaptive,0.18551003753197773,0.30566445226544764,0.22779803649522004,0.12015441473346991
focus_only_topk@k=1,0.18551003753197773,0.43457133173942564,0.3415861620944532,0.2490612942074479
focus_only_topk@k=3,0.18551003753197773,0.3754036875803079,0.2989331292108089,0.18989365004833017
focus_only_topk@k=5,0.18551003753197773,0.35445796991165596,0.2843347341251092,0.16894793237967823
focus_only_topk@k=7,0.18551003753197773,0.3457634418239048,0.27265499453987363,0.16025340429192705
hybrid_proposed,0.18551003753197773,0.30566445226544764,0.22779803649522004,0.12015441473346991
legacy_adaptive,0.18551003753197773,0.3133340253684651,0.2362320591315089,0.12782398783648738
occupancy_only_topk@k=1,0.18551003753197773,0.42547298288465446,0.3431347392855923,0.23996294535267673
occupancy_only_topk@k=3,0.18551003753197773,0.36573542491417027,0.28511932346020225,0.18022538738219254
occupancy_only_topk@k=5,0.18551003753197773,0.3405385297625812,0.26607953055426864,0.15502849223060347
occupancy_only_topk@k=7,0.18551003753197773,0.3220939995415175,0.2561553479797473,0.1365839620095398
random_k@k=1,0.18551003753197773,0.40708896416792156,0.3255713644526545,0.22157892663594383
random_k@k=3,0.18551003753197773,0.345720323386477,0.25900350303232267,0.16021028585449928
random_k@k=5,0.18551003753197773,0.3379176108546518,0.25373329372290115,0.15240757332267404
random_k@k=7,0.18551003753197773,0.32679904982521757,0.24709002422863804,0.14128901229323984
