roi_policy,weighted_mae_um,macro_mae_um,best_dataset_mae,worst_dataset_mae,domain_gap_mae,mean_inputs_used_per_fov,latency_proxy_ms_per_fov,relative_gap_reduction_vs_center_top1_pct,relative_gap_reduction_vs_all_rois_pct
cnn_adaptive,0.1858948563713719,0.22779803649522004,0.1855100375319777,0.3056644522654476,0.12015441473346988,1.2434679151408397,9.736626274239548,29.385751048476962,2.448118975756114
hybrid_proposed,0.1858948563713719,0.22779803649522004,0.1855100375319777,0.3056644522654476,0.12015441473346988,1.2434679151408397,9.73820427270011,29.385751048476962,2.448118975756114
all_rois,0.1859023231728344,0.22831059726529127,0.1855100375319777,0.3086797944571248,0.12316975692514709,1.4382561535252398,11.23619501468605,27.613647004947268,0.0
legacy_adaptive,0.1859423139688071,0.2362320591315089,0.1855100375319777,0.3133340253684651,0.1278239878364874,1.148449450702267,11.558514798372562,24.87837488880995,-3.778712427084511
occupancy_only_topk@k=7,0.1860375992106009,0.2561553479797473,0.1855100375319777,0.3220939995415175,0.13658396200953982,1.0265609790015298,8.033846956866395,19.73017456311251,-10.890826952386396
random_k@k=7,0.1860098666767291,0.24709002422863804,0.1855100375319777,0.3267990498252175,0.1412890122932398,1.0265609790015298,8.026417490610978,16.965036113563084,-14.710798998413372
random_k@k=5,0.1860563753272663,0.2537332937229011,0.1855100375319777,0.3379176108546518,0.15240757332267407,1.017707319334353,7.9576712760721104,10.430704118714877,-23.737820977673465
occupancy_only_topk@k=5,0.1861103755199677,0.26607953055426864,0.1855100375319777,0.3405385297625812,0.1550284922306035,1.017707319334353,7.964393103455555,8.890400995797425,-25.865712574895838
random_k@k=3,0.1860914416808649,0.25900350303232267,0.1855100375319777,0.345720323386477,0.1602102858544993,1.0088536596671769,7.887888889790065,5.845082471423078,-30.072746633625773
focus_only_topk@k=7,0.1861460187097668,0.27265499453987363,0.1855100375319777,0.3457634418239048,0.16025340429192708,1.0265609790015298,8.033737080040222,5.819741945386816,-30.10775395888499
focus_only_topk@k=5,0.1862082763849938,0.2843347341251092,0.1855100375319777,0.3544579699116559,0.1689479323796782,1.017707319334353,7.965292798642954,0.7100040113594559,-37.166733618181524
center_top1,0.1862011010114864,0.28408853487955904,0.1855100375319777,0.3556660846719202,0.17015604713994248,1.0,7.810523067402967,0.0,-38.147587027674305
occupancy_only_topk@k=3,0.1862316816358253,0.2851193234602022,0.1855100375319777,0.3657354249141702,0.18022538738219251,1.0088536596671769,7.896356160942832,-5.91770930948381,-46.32275964603824
focus_only_topk@k=3,0.1863042093771644,0.29893312921080883,0.1855100375319777,0.3754036875803079,0.1898936500483302,1.0088536596671769,7.896061695836852,-11.599706998455837,-54.17230234832131
random_k@k=1,0.1864568899247557,0.3255713644526545,0.1855100375319777,0.4070889641679215,0.2215789266359438,1.0,7.813804938216192,-30.221012041793198,-79.8971859387545
occupancy_only_topk@k=1,0.1865577736067947,0.3431347392855922,0.1855100375319777,0.4254729828846544,0.2399629453526767,1.0,9.956300513104209,-41.02522325011611,-94.82294302042615
focus_only_topk@k=1,0.1865639473053407,0.3415861620944532,0.1855100375319777,0.4345713317394256,0.24906129420744788,1.0,9.79735833565631,-46.37228496652304,-102.20977975852286
