roi_policy,roi_count_bucket,mae_um,n_fov
center_top1,1,0.18620110101148646,258876
center_top1,2-3,,0
center_top1,4-7,,0
center_top1,8+,,0
random_k@k=1,1,0.1864568899247557,258876
random_k@k=1,2-3,,0
random_k@k=1,4-7,,0
random_k@k=1,8+,,0
random_k@k=3,1,0.18551003753197773,257730
random_k@k=3,2-3,0.3158952449212732,1146
random_k@k=3,4-7,,0
random_k@k=3,8+,,0
random_k@k=5,1,0.18551003753197773,257730
random_k@k=5,2-3,,0
random_k@k=5,4-7,0.308031293838228,1146
random_k@k=5,8+,,0
random_k@k=7,1,0.18551003753197773,257730
random_k@k=7,2-3,,0
random_k@k=7,4-7,0.2976013028288803,1146
random_k@k=7,8+,,0
focus_only_topk@k=1,1,0.1865639473053407,258876
focus_only_topk@k=1,2-3,,0
focus_only_topk@k=1,4-7,,0
focus_only_topk@k=1,8+,,0
focus_only_topk@k=3,1,0.18551003753197773,257730
focus_only_topk@k=3,2-3,0.36361035025868743,1146
focus_only_topk@k=3,4-7,,0
focus_only_topk@k=3,8+,,0
focus_only_topk@k=5,1,0.18551003753197773,257730
focus_only_topk@k=5,2-3,,0
focus_only_topk@k=5,4-7,0.34209649779721707,1146
focus_only_topk@k=5,8+,,0
focus_only_topk@k=7,1,0.18551003753197773,257730
focus_only_topk@k=7,2-3,,0
focus_only_topk@k=7,4-7,0.32813464370385514,1146
focus_only_topk@k=7,8+,,0
occupancy_only_topk@k=1,1,0.18655777360679474,258876
occupancy_only_topk@k=1,2-3,,0
occupancy_only_topk@k=1,4-7,,0
occupancy_only_topk@k=1,8+,,0
occupancy_only_topk@k=3,1,0.18551003753197773,257730
occupancy_only_topk@k=3,2-3,0.3473453397422145,1146
occupancy_only_topk@k=3,4-7,,0
occupancy_only_topk@k=3,8+,,0
occupancy_only_topk@k=5,1,0.18551003753197773,257730
occupancy_only_topk@k=5,2-3,,0
occupancy_only_topk@k=5,4-7,0.32014133181767523,1146
occupancy_only_topk@k=5,8+,,0
occupancy_only_topk@k=7,1,0.18551003753197773,257730
occupancy_only_topk@k=7,2-3,,0
occupancy_only_topk@k=7,4-7,0.3038205776435126,1146
occupancy_only_topk@k=7,8+,,0
hybrid_proposed,1,0.18551003753197773,257730
hybrid_proposed,2-3,,0
hybrid_proposed,4-7,,0
hybrid_proposed,8+,0.27180918809319043,1146
all_rois,1,0.18551003753197773,257730
all_rois,2-3,,0
all_rois,4-7,,0
all_rois,8+,0.27348368673424445,1146
legacy_adaptive,1,0.18551003753197773,257730
legacy_adaptive,2-3,,0
legacy_adaptive,4-7,,0
legacy_adaptive,8+,0.28245198913893776,1146
cnn_adaptive,1,0.18551003753197773,257730
cnn_adaptive,2-3,,0
cnn_adaptive,4-7,,0
cnn_adaptive,8+,0.27180918809319043,1146
