metric,point_estimate,ci95_lo,ci95_hi,n_fov_bootstrap,n_bootstrap,roi_policy
mae_um,0.18547419974505902,0.18210641033947467,0.189173873513937,10000,1000,center_top1
rmse_um,0.25868002201741475,0.24833252169191838,0.2699521191418171,10000,1000,center_top1
within_1um_pct,99.45,99.30000305175781,99.59024639129639,10000,1000,center_top1
catastrophic_wrong_direction_pct,0.13,0.05999999865889549,0.20000000298023224,10000,1000,center_top1
mae_um,0.1860131430795789,0.1826839692890644,0.18943311348557473,10000,1000,random_k@k=1
rmse_um,0.253873014757464,0.24695648439228535,0.26081381142139437,10000,1000,random_k@k=1
within_1um_pct,99.42999999999999,99.2699966430664,99.56999969482422,10000,1000,random_k@k=1
catastrophic_wrong_direction_pct,0.1,0.05000000074505806,0.1599999964237213,10000,1000,random_k@k=1
mae_um,0.18450107313841582,0.18121612891554834,0.18795497193932534,10000,1000,random_k@k=3
rmse_um,0.25382645767362866,0.24697662219405175,0.2610985621809959,10000,1000,random_k@k=3
within_1um_pct,99.33,99.16000366210938,99.48999786376953,10000,1000,random_k@k=3
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,random_k@k=3
mae_um,0.18452780420035123,0.18123227022588254,0.18797143846750258,10000,1000,random_k@k=5
rmse_um,0.2540656671562611,0.24706021100282669,0.2612571485340595,10000,1000,random_k@k=5
within_1um_pct,99.32,99.1500015258789,99.4800033569336,10000,1000,random_k@k=5
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,random_k@k=5
mae_um,0.18474968143552542,0.18139536790549754,0.18817227743566037,10000,1000,random_k@k=7
rmse_um,0.25443466616097243,0.24743486903607845,0.2616796240210533,10000,1000,random_k@k=7
within_1um_pct,99.33,99.16000366210938,99.48999786376953,10000,1000,random_k@k=7
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,random_k@k=7
mae_um,0.1844799083405733,0.18089404776692392,0.18785803504288195,10000,1000,focus_only_topk@k=1
rmse_um,0.25620324671062955,0.24721509404480457,0.2658638685941696,10000,1000,focus_only_topk@k=1
within_1um_pct,99.41,99.26000213623047,99.55000305175781,10000,1000,focus_only_topk@k=1
catastrophic_wrong_direction_pct,0.15,0.07999999821186066,0.23000000417232513,10000,1000,focus_only_topk@k=1
mae_um,0.1845383942887187,0.18123113922774792,0.18795213364064695,10000,1000,focus_only_topk@k=3
rmse_um,0.25388457206866216,0.24693085290491582,0.2610838994383812,10000,1000,focus_only_topk@k=3
within_1um_pct,99.33,99.16999816894531,99.4800033569336,10000,1000,focus_only_topk@k=3
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,focus_only_topk@k=3
mae_um,0.1846614672973752,0.1813895270228386,0.1881697725504637,10000,1000,focus_only_topk@k=5
rmse_um,0.25431386929118843,0.2473784636706114,0.26135724112391473,10000,1000,focus_only_topk@k=5
within_1um_pct,99.33,99.16999816894531,99.4800033569336,10000,1000,focus_only_topk@k=5
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,focus_only_topk@k=5
mae_um,0.18457887402027845,0.18124956339597703,0.18800899237394333,10000,1000,focus_only_topk@k=7
rmse_um,0.25399755598608403,0.24709369279444218,0.26108376532793043,10000,1000,focus_only_topk@k=7
within_1um_pct,99.33999999999999,99.17975025177002,99.48999786376953,10000,1000,focus_only_topk@k=7
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,focus_only_topk@k=7
mae_um,0.1849675878882408,0.18170028328895568,0.1885624099522829,10000,1000,occupancy_only_topk@k=1
rmse_um,0.25550971048543514,0.24674782827496528,0.2645301461219788,10000,1000,occupancy_only_topk@k=1
within_1um_pct,99.47,99.33000183105469,99.62000274658203,10000,1000,occupancy_only_topk@k=1
catastrophic_wrong_direction_pct,0.12,0.05999999865889549,0.1899999976158142,10000,1000,occupancy_only_topk@k=1
mae_um,0.18514762192219497,0.18167684860527517,0.18883566968142987,10000,1000,occupancy_only_topk@k=3
rmse_um,0.2578313926235465,0.24864729270339012,0.268567818403244,10000,1000,occupancy_only_topk@k=3
within_1um_pct,99.32,99.1500015258789,99.4800033569336,10000,1000,occupancy_only_topk@k=3
catastrophic_wrong_direction_pct,0.11,0.05000000074505806,0.18000000715255737,10000,1000,occupancy_only_topk@k=3
mae_um,0.1850914495870471,0.18163433708250523,0.18876944705843926,10000,1000,occupancy_only_topk@k=5
rmse_um,0.2576020165133525,0.24856519214808942,0.2679958835244179,10000,1000,occupancy_only_topk@k=5
within_1um_pct,99.33,99.16000366210938,99.48025321960449,10000,1000,occupancy_only_topk@k=5
catastrophic_wrong_direction_pct,0.11,0.05000000074505806,0.18000000715255737,10000,1000,occupancy_only_topk@k=5
mae_um,0.18460420177429915,0.1813422579318285,0.18806298933923243,10000,1000,occupancy_only_topk@k=7
rmse_um,0.2541016816696994,0.2471313953399658,0.261222268640995,10000,1000,occupancy_only_topk@k=7
within_1um_pct,99.33,99.16000366210938,99.4800033569336,10000,1000,occupancy_only_topk@k=7
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,occupancy_only_topk@k=7
mae_um,0.1844785679027438,0.1811755683273077,0.187897177785635,10000,1000,hybrid_proposed
rmse_um,0.2540389462420519,0.24703877195715904,0.2612173601984978,10000,1000,hybrid_proposed
within_1um_pct,99.32,99.1500015258789,99.4800033569336,10000,1000,hybrid_proposed
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,hybrid_proposed
mae_um,0.1844402651771903,0.181167259439826,0.18787513636052608,10000,1000,all_rois
rmse_um,0.253907569204847,0.24704533778131008,0.26109813526272774,10000,1000,all_rois
within_1um_pct,99.33,99.16000366210938,99.48999786376953,10000,1000,all_rois
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,all_rois
mae_um,0.1844336391016841,0.18113291934132575,0.18791593722999095,10000,1000,legacy_adaptive
rmse_um,0.25386143952215195,0.24695150889456272,0.2610371679067612,10000,1000,legacy_adaptive
within_1um_pct,99.33,99.16000366210938,99.4800033569336,10000,1000,legacy_adaptive
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,legacy_adaptive
mae_um,0.1844785679027438,0.1811755683273077,0.187897177785635,10000,1000,cnn_adaptive
rmse_um,0.2540389462420519,0.24703877195715904,0.2612173601984978,10000,1000,cnn_adaptive
within_1um_pct,99.32,99.1500015258789,99.4800033569336,10000,1000,cnn_adaptive
catastrophic_wrong_direction_pct,0.1,0.03999999910593033,0.17000000178813934,10000,1000,cnn_adaptive
