roi_policy,perturbation_type,perturbation_level,jaccard,delta_abs_error_um,dataset,fov_id,delta_mae_um
center_top1,blur,0.8,1.0,0.8119746446609497,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.8119746446609497
center_top1,blur,1.2,1.0,1.0884565114974976,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,1.0884565114974976
center_top1,noise,0.01,1.0,0.17470026016235352,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.17470026016235352
center_top1,noise,0.02,1.0,0.12534546852111816,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.12534546852111816
center_top1,brightness,0.05,1.0,0.23710060119628906,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.23710060119628906
center_top1,brightness,-0.05,1.0,0.251284122467041,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.251284122467041
center_top1,contrast,0.9,1.0,0.25140905380249023,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.25140905380249023
center_top1,contrast,1.1,1.0,0.24434757232666016,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.24434757232666016
random_k@k=1,blur,0.8,1.0,0.35263609886169434,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.35263609886169434
random_k@k=1,blur,1.2,1.0,3.560296058654785,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,3.560296058654785
random_k@k=1,noise,0.01,1.0,-0.26057207584381104,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.26057207584381104
random_k@k=1,noise,0.02,1.0,-0.6970213651657104,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.6970213651657104
random_k@k=1,brightness,0.05,1.0,0.1065375804901123,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.1065375804901123
random_k@k=1,brightness,-0.05,1.0,0.10681354999542236,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.10681354999542236
random_k@k=1,contrast,0.9,1.0,0.10667729377746582,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.10667729377746582
random_k@k=1,contrast,1.1,1.0,0.10659801959991455,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.10659801959991455
random_k@k=3,blur,0.8,1.0,0.6830031871795654,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.6830031871795654
random_k@k=3,blur,1.2,1.0,3.7395901679992676,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,3.7395901679992676
random_k@k=3,noise,0.01,1.0,-0.45684289932250977,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,-0.45684289932250977
random_k@k=3,noise,0.02,1.0,0.4684135913848877,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.4684135913848877
random_k@k=3,brightness,0.05,1.0,0.05356788635253906,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.05356788635253906
random_k@k=3,brightness,-0.05,1.0,0.05358266830444336,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.05358266830444336
random_k@k=3,contrast,0.9,1.0,0.05338788032531738,bma,/home/dineth/focus_measure/datasets/New folder/bma pbf tfa/bma_imgs/pos002_2/pos002_2_page_8.png,0.05338788032531738
