roi_policy,best_dataset_mae,worst_dataset_mae,mean_dataset_mae,gap_worst_minus_best
all_rois,0.1855100375319777,0.3086797944571248,0.2283105972652912,0.1231697569251471
center_top1,0.1855100375319777,0.3556660846719202,0.284088534879559,0.1701560471399424
cnn_adaptive,0.1855100375319777,0.3056644522654476,0.22779803649522,0.1201544147334699
focus_only_topk@k=1,0.1855100375319777,0.4345713317394256,0.3415861620944532,0.2490612942074479
focus_only_topk@k=3,0.1855100375319777,0.3754036875803079,0.2989331292108089,0.1898936500483301
focus_only_topk@k=5,0.1855100375319777,0.3544579699116559,0.2843347341251092,0.1689479323796782
focus_only_topk@k=7,0.1855100375319777,0.3457634418239048,0.2726549945398736,0.160253404291927
hybrid_proposed,0.1855100375319777,0.3056644522654476,0.22779803649522,0.1201544147334699
legacy_adaptive,0.1855100375319777,0.3133340253684651,0.2362320591315089,0.1278239878364873
occupancy_only_topk@k=1,0.1855100375319777,0.4254729828846544,0.3431347392855923,0.2399629453526767
occupancy_only_topk@k=3,0.1855100375319777,0.3657354249141702,0.2851193234602022,0.1802253873821925
occupancy_only_topk@k=5,0.1855100375319777,0.3405385297625812,0.2660795305542686,0.1550284922306034
occupancy_only_topk@k=7,0.1855100375319777,0.3220939995415175,0.2561553479797473,0.1365839620095398
random_k@k=1,0.1855100375319777,0.4070889641679215,0.3255713644526545,0.2215789266359438
random_k@k=3,0.1855100375319777,0.345720323386477,0.2590035030323226,0.1602102858544992
random_k@k=5,0.1855100375319777,0.3379176108546518,0.2537332937229011,0.152407573322674
random_k@k=7,0.1855100375319777,0.3267990498252175,0.247090024228638,0.1412890122932398
